"","G_ID","GDAY_DS","T_ID","WLS","P1","P2","P3","P4","D1","D2","D3","B1","B2","B3","B4","C1","C2","C3","C4","S1","S2","YEAR","W","WS","WC","p1","p2","p3","p4","d1","d2","d3","b1","b2","b3","b4","c1","c2","c3","c4","s1","s2"
"1","20160401HHLG0",20160401,"HH","L",0.285714285714286,3.97058823529412,0.261904761904762,0.352941176470588,0,0,1,0.282608695652174,3,0.326530612244898,0.369565217391304,0,0.0869565217391304,0.2,12,0,0.589285714285714,2016,"LOOSE",0,0,0.375,0.397674009842981,0.64736030478955,0.38743626414625,1,0.375,0.625,0.508428794584744,0.4375,0.452346451928916,0.371002740977615,0.375,0.389742114635594,0.380555555555556,0.75,0.375,0.375
"2","20160402HHLG0",20160402,"HH","L",0.4,7.2,0.225,0.8,1,0,2,0.302325581395349,6,0.361702127659574,0.488372093023256,0,0.162790697674419,0.333333333333333,10,0,0,2016,"LOOSE",0,0,0.544230769230769,0.569223107569721,0.565810957910015,0.670983086680761,1,0.375,0.875,0.551994847514274,0.625,0.527040928213477,0.487511996203711,0.375,0.529326920985904,0.543518518518518,0.625,0.375,0
"3","20160405WOHH0",20160405,"HH","W",0.25,5,0.34375,0.777777777777778,1,1,3,0.371428571428571,5,0.425,0.6,0,0.228571428571429,0.428571428571429,8,1,1,2016,"WIN",3,3,0.322115384615385,0.452357237715803,0.828215711175617,0.656888653981677,1,0.625,1,0.704683490162532,0.5625,0.661467931674983,0.596981117709761,0.375,0.650406770151487,0.659920634920635,0.5,0.625,0.835
"4","20160406WOHH0",20160406,"HH","L",0.25,6,0.375,0.777777777777778,1,0,2,0.314285714285714,0,0.314285714285714,0.714285714285714,2,0.114285714285714,0.222222222222222,5,1,1,2016,"LOOSE",0,3,0.322115384615385,0.505478087649402,0.897269593613933,0.656888653981677,1,0.375,0.875,0.578421727972626,0.25,0.42634170833355,0.709056646870717,0.875,0.44004582008603,0.407716049382716,0.3125,0.625,0.835
"5","20160407WOHH0",20160407,"HH","L",0.333333333333333,7,0.121212121212121,0.555555555555556,0,1,1,0.307692307692308,1,0.307692307692308,0.615384615384615,2,0.0769230769230769,0.181818181818182,10,0,0.589285714285714,2016,"LOOSE",0,3,0.445512820512821,0.558598937583001,0.336468366539121,0.515944326990839,1,0.625,0.625,0.56385306310456,0.3125,0.412339154089892,0.612068208173736,0.875,0.371273971026169,0.358333333333333,0.625,0.375,0.375
"6","20160408HHNC0",20160408,"HH","L",0.4,5.625,0.2,0.875,0,2,3,0.161290322580645,8,0.297297297297297,0.419354838709677,1,0.129032258064516,0.2,8,0,0.589285714285714,2016,"LOOSE",0,3,0.544230769230769,0.485557768924303,0.510567851959361,0.718551797040169,1,0.875,1,0.24036604210933,0.75,0.390263055057097,0.419829474842443,0.625,0.467189168481572,0.380555555555556,0.5,0.375,0.375
"7","20160409HHNC0",20160409,"HH","L",0.472222222222222,11.25,0.111111111111111,0.375,0,0,0,0.241379310344828,2,0.290322580645161,0.241379310344828,0,0.0344827586206897,0.5,4,0,0,2016,"LOOSE",0,3,0.651175213675214,0.784362549800797,0.314147919690373,0.401427061310782,1,0.375,0.375,0.417329134833781,0.375,0.375450704738318,0.245295836549519,0.375,0.293155846333426,0.747222222222222,0.25,0.375,0
"8","20160410HHNC0",20160410,"HH","W",0.0689655172413793,1,0.310344827586207,0.333333333333333,1,0,0,0.206896551724138,5,0.303030303030303,0.275862068965517,0,0.0689655172413793,0.181818181818182,9,0,0.589285714285714,2016,"WIN",3,6,0.0540450928381963,0.239873837981408,0.754399492017417,0.375,1,0.375,0.375,0.341136692132975,0.5625,0.402438358160032,0.279111728968773,0.375,0.356626822646279,0.358333333333333,0.5625,0.375,0.375
"9","20160412OBHH0",20160412,"HH","L",0.454545454545455,8,0.212121212121212,1,0,1,1,0.264705882352941,3,0.305555555555556,0.382352941176471,0,0.0294117647058823,0.181818181818182,8,0,0.589285714285714,2016,"LOOSE",0,6,0.625,0.6117197875166,0.53735238817786,0.797832980972516,1,0.625,0.625,0.468871081366678,0.4375,0.407801289288706,0.383543161439999,0.375,0.283821879228594,0.358333333333333,0.5,0.375,0.375
"10","20160413OBHH0",20160413,"HH","L",0.425,7,0.15,0.444444444444444,0,0,0,0.375,3,0.418604651162791,0.775,0,0.075,0.0666666666666667,13,1,1,2016,"LOOSE",0,6,0.58125,0.558598937583001,0.400081640058055,0.445472163495419,1,0.375,0.375,0.712574850299401,0.4375,0.647885996793295,0.768596771737475,0.375,0.367734243501029,0.217592592592593,0.8125,0.625,0.835
